show_id,title,director,country,release_year,rating,duration,listed_in,description,type,date_added
292118,Beavis and Butthead Do America                                                          ,Mike Judge                               ,United States                                 ,1996,PG-13   ,1h21     ,"Comedies, Cult Movies                                                          ",after realizing that their boob tube is gone beavis and butthead set off on an expedition that takes them from las vegas to the nations capital                                                 ,Movie  ,2019-11-20
506464,The First Wives Club                                                                    ,Hugh WIlson                              ,United States                                 ,1996,PG      ,1h43     ,Comedies                                                                       ,following a friends suicide after her husband dumps her for a younger model three women plot payback against their twotiming exes                                                               ,Movie  ,2019-11-20
569355,Hamburger Hill                                                                          ,John Irvin                               ,United States                                 ,1987,R       ,1h50     ,"Action & Adventure, Dramas                                                     ",the vietnam wars horrors come brutally to life through the eyes of american soldiers trying to take a heavily fortified hill under vietcong control                                             ,Movie  ,2019-11-23
1181661,The Rainmaker                                                                           ,Francis Ford Coppola                     ,"United States, Germany                        ",1997,PG-13   ,2h16     ,"Dramas, Thrillers                                                              ",a young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company                                                            ,Movie  ,2019-11-20
28631236,Superstar                                                                               ,Bruce McCulloch                          ,United States                                 ,1999,PG-13   ,1h22     ,Comedies                                                                       ,a socially awkward catholic schoolgirl vows to win a dreamy classmates affections by taking first prize at an upcoming talent show                                                              ,Movie  ,2019-11-20
60003508,The Gift                                                                                ,Sam Raimi                                ,United States                                 ,2000,R       ,1h52     ,"Dramas, Thrillers                                                              ",when the authorities find a drowned womans body a smalltown psychic starts having visions of who committed the murder                                                                           ,Movie  ,2019-11-20
60004083,The Longest Yard                                                                        ,Robert Aldrich                           ,United States                                 ,1974,R       ,2h1      ,"Classic Movies, Comedies, Sports Movies                                        ",washedup professional quarterback paul crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards                                             ,Movie  ,2019-11-20
60004471,The Prestige                                                                            ,Ivan Reitman                             ,United States                                 ,2019,PG-13   ,1h42     ,"Comedies, Sci-Fi & Fantasy                                                     ",after two community college geology professors discover microscopic alien lifeforms on a meteorite the military and government become involved                                                  ,Movie  ,2019-11-20
60011552,Whats Eating Gilbert Grape                                                              ,Lasse Hallström                          ,United States                                 ,1993,PG-13   ,1h58     ,"Classic Movies, Dramas, Independent Movies                                     ",in a backwater iowa town young gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life                                               ,Movie  ,2019-11-20
60020826,The Score                                                                               ,Frank Oz                                 ,"Germany, Canada, United States                ",2001,R       ,2h4      ,"Dramas, Thrillers                                                              ",readytoretire safecracker nick flamboyant fence max and talented but volatile thief jackie team up to rob the montreal customs house                                                            ,Movie  ,2019-11-28
60020948,Charlottes Web                                                                          ,"Charles A. Nichols, Iwao Takamoto        ",United States                                 ,1973,G       ,1h34     ,"Children & Family Movies, Classic Movies                                       ",follow the adventures of wilbur the pig templeton the rat and charlotte the spider in this animated musical version of eb whites timeless story                                                 ,Movie  ,2019-11-23
60022413,Eye for an Eye                                                                          ,John Schlesinger                         ,United States                                 ,1996,R       ,1h41     ,"Dramas, Thrillers                                                              ",grieving mother karen mccann takes justice into her own hands when the man who raped and murdered her daughter is freed on a technicality                                                       ,Movie  ,2019-11-20
60022502,It Takes Two                                                                            ,Andy Tennant                             ,United States                                 ,2019,PG      ,1h41     ,"Children & Family Movies, Comedies                                             ",the olsen twins put a cute new spin on mark twains classic tale the prince and the pauper playing identical 9yearolds from very different backgrounds                                           ,Movie  ,2019-11-20
60022645,The Time Machine                                                                        ,Simon Wells                              ,"United States, United Arab Emirates           ",2002,PG-13   ,1h36     ,"Action & Adventure, Sci-Fi & Fantasy                                           ",based on the hg wells classic this adventure follows a scientist and inventor whos determined to prove to doubters that time travel is possible                                                 ,Movie  ,2019-11-23
60023606,K19 The Widowmaker                                                                      ,Kathryn Bigelow                          ,"United Kingdom, Germany, Canada, United States",2002,PG-13   ,2h18     ,"Action & Adventure, Dramas                                                     ",on board russias first nuclear ballistic submarine capt vostrikov must race against time to prevent a chernobyllike explosion                                                                   ,Movie  ,2019-11-21
60028294,Popeye                                                                                  ,Robert Altman                            ,United States                                 ,1980,PG      ,1h54     ,"Action & Adventure, Children & Family Movies, Comedies                         ",during a storm that wrecks his ship superstrong sailor popeye washes ashore and winds up rooming at the oyl household where he meets olive                                                      ,Movie  ,2019-11-24
60031884,Once Upon a Time in the West                                                            ,Sergio Leone                             ,"Italy, United States                          ",1968,PG-13   ,2h46     ,"Action & Adventure, Classic Movies, International Movies                       ",in this epic spaghetti western a flinty gunslinger is hired by a railroad tycoon to kill anyone standing in the way of his transamerican iron horse                                             ,Movie  ,2019-11-20
70003046,Bebes Kids                                                                              ,Bruce W. Smith                           ,United States                                 ,1992,PG-13   ,1h13     ,Comedies                                                                       ,when ladies man robin meets jamika he falls head over heels but she greets him with four surprises her son and her girlfriend bebes three kids                                                  ,Movie  ,2019-11-20
70039187,Yours Mine and Ours                                                                     ,Raja Gosnell                             ,United States                                 ,2005,PG      ,1h28     ,"Children & Family Movies, Comedies                                             ",when a father of eight and a mother of 10 prepare to wed the couples children attempt to sabotage the union in this remake of a 1968 comedy                                                     ,Movie  ,2019-11-20
70044686,El hoyo                                                                                 ,David Fincher                            ,United States                                 ,2019,R       ,2h38     ,"Cult Movies, Dramas, Thrillers                                                 ",a political cartoonist a crime reporter and a pair of cops investigate san franciscos infamous zodiac killer in this thriller based on a true story                                             ,Movie  ,2019-11-20
70044693,World Trade Center                                                                      ,Oliver Stone                             ,United States                                 ,2006,PG-13   ,2h9      ,"Action & Adventure, Dramas                                                     ",working under treacherous conditions an army of dedicated rescuers struggles to find anyone who survived the world trade centers tragic collapse                                                ,Movie  ,2019-11-20
70053833,Black Snake Moan                                                                        ,Craig Brewer                             ,United States                                 ,2007,R       ,1h56     ,"Dramas, Independent Movies                                                     ",lazarus finds rae beaten and near death and acts as a father figure to help redeem her but before saving anyone lazarus must face his own demons                                                ,Movie  ,2019-11-20
70058022,It Chapter Two                                                                          ,Akiva Schaffer                           ,United States                                 ,2019,PG-13   ,1h28     ,"Comedies, Sports Movies                                                        ",andy samberg stars in this comedy as an accidentprone daredevil whos determined to jump 15 buses on his moped and impress his abusive stepfather                                                ,Movie  ,2019-11-20
70087538,The Love Guru                                                                           ,Marco Schnabel                           ,"United Kingdom, Germany, United States        ",2008,PG-13   ,1h27     ,"Comedies, Sports Movies                                                        ",raised on an ashram in india a selfstyled love guru returns to his native america to settle a romantic rivalry between two pro hockey players                                                   ,Movie  ,2019-11-20
70091304,Mike Birbiglia What I Should Have Said Was Nothing Tales from My Secret Public Journal  ,Desconhecido                             ,United States                                 ,2008,TV-14   ,0h56     ,Stand-Up Comedy                                                                ,mike birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary                                            ,Movie  ,2019-11-22
70101696,Defiance                                                                                ,Edward Zwick                             ,United States                                 ,2008,R       ,2h17     ,"Action & Adventure, Dramas                                                     ",in this actionpacked drama based on an extraordinary true story four brothers protect more than 1000 jewish refugees during world war ii                                                        ,Movie  ,2019-11-27
70105132,The Goods Live Hard Sell Hard                                                           ,Neal Brennan                             ,United States                                 ,2009,R       ,1h29     ,Comedies                                                                       ,hired to rescue a flagging car dealership during a major sale a fasttalking closer spends his days on the lot and his nights at local strip clubs                                               ,Movie  ,2019-11-20
70117289,Shes Out of My League                                                                   ,Jim Field Smith                          ,United States                                 ,2010,R       ,1h45     ,"Comedies, Romantic Movies                                                      ",when averageguy kirk starts dating dropdeadgorgeous molly his friends dont see it lasting so kirk does everything he can to avoid losing molly                                                  ,Movie  ,2019-11-20
70121502,The Adventures of Tintin                                                                ,Steven Spielberg                         ,"United States, New Zealand, United Kingdom    ",2011,PG      ,1h47     ,Children & Family Movies                                                       ,this 3d motion capture adapts georges remis classic comic strip about the adventures of fearless young journalist tintin and his trusty dog snowy                                               ,Movie  ,2019-11-20
70122722,Carriers                                                                                ,"Àlex Pastor, David Pastor                ",United States                                 ,2009,PG-13   ,1h25     ,"Horror Movies, Sci-Fi & Fantasy, Thrillers                                     ",as a lethal virus spreads globally four friends seek a reputed plaguefree haven but while avoiding the infected the travelers turn on one another                                               ,Movie  ,2019-11-20
70173046,Young Adult                                                                             ,Jason Reitman                            ,United States                                 ,2011,R       ,1h34     ,"Comedies, Dramas, Independent Movies                                           ",when a divorced writer gets a letter from an old boyfriend announcing his wifes had a baby she returns to her hometown to reconnect with her ex                                                 ,Movie  ,2019-11-20
70205672,La Reina del Sur                                                                        ,Desconhecido                             ,"United States, Spain, Colombia, Mexico        ",2019,TV-14   ,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows              ",this compelling show tells the story of the legendary teresa mendoza a courageous woman who is perceived as conquering the world of drug trafficking                                            ,TV Show,
70215455,The Devil Inside                                                                        ,William Brent Bell                       ,United States                                 ,2012,R       ,1h24     ,"Horror Movies, Thrillers                                                       ",at once spooky and grisly this thriller follows a womans quest to find the truth behind claims her mother killed three people during an exorcism                                                ,Movie  ,2019-11-20
70235384,End of Watch                                                                            ,David Ayer                               ,United States                                 ,2012,R       ,1h49     ,Action & Adventure                                                             ,officers taylor and zavala patrol the streets of south central los angeles an area of the city ruled by gangs and riddled with drug violence                                                    ,Movie  ,2019-11-23
70267398,Me Before You                                                                           ,Anne Fontaine                            ,"Australia, France                             ",2019,R       ,1h51     ,"Dramas, Independent Movies, International Movies                               ",when lifelong friends roz and lil fall in love with each others teenage sons they must carry out their affairs in relative secrecy                                                              ,Movie  ,2019-11-20
80028357,Love Rosie                                                                              ,Christian Ditter                         ,"Germany, United Kingdom                       ",2014,R       ,1h43     ,"Comedies, International Movies, Romantic Movies                                ",over the years as they come and go in each others life childhood pals rosie and alex struggle to resolve the lasting intimate bond between them                                                 ,Movie  ,2019-11-20
80081990,DreamKiller                                                                             ,Andrew Jenks                             ,United States                                 ,2015,TV-MA   ,1h49     ,Documentaries                                                                  ,this riveting crime doc follows bill as he confronts americas broken judicial system after his son is falsely sentenced to 40 years in prison                                                   ,Movie  ,2019-11-20
80108983,Be Somebody                                                                             ,Joshua Caldwell                          ,United States                                 ,2016,PG      ,1h28     ,"Comedies, Dramas, Romantic Movies                                              ",to escape the stress of fame teen pop star jordan goes incognito in a small town where he forms a special bond with high school art student emily                                               ,Movie  ,2019-11-20
80117560,Trolls The Beat Goes On                                                                 ,Desconhecido                             ,United States                                 ,2019,TV-G    ,8 Seasons,"Kids' TV, TV Comedies                                                          ",as queen poppy welcomes a new time of peace in troll village with parties sports and holiday celebrations branch tries to be more funloving                                                     ,TV Show,
80125671,Shot Caller                                                                             ,Ric Roman Waugh                          ,United States                                 ,2017,R       ,2h1      ,"Dramas, Thrillers                                                              ",trying to go straight a oncesuccessful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family                                                               ,Movie  ,2019-11-24
80156799,Joker                                                                                   ,Desconhecido                             ,Japan                                         ,2019,TV-14   ,1 Season ,"Anime Series, International TV Shows                                           ",young levius rises through the ranks in the brutal world of metal boxing under his uncles guidance forces outside the ring have their eye on him                                                ,TV Show,2019-11-28
80159876,Girls und Panzer der Film                                                               ,Tsutomu Mizushima                        ,Japan                                         ,2015,TV-14   ,2h1      ,"Action & Adventure, Anime Features, International Movies                       ",the girls of arai high must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school                                                   ,Movie  ,2019-11-22
80175798,The Irishman                                                                            ,Martin Scorsese                          ,United States                                 ,2019,R       ,3h29     ,Dramas                                                                         ,hit man frank sheeran looks back at the secrets he kept as a loyal member of the bufalino crime family in this acclaimed film from martin scorsese                                              ,Movie  ,2019-11-27
80198001,Strong Girl Bongsoon                                                                    ,Desconhecido                             ,South Korea                                   ,2017,TV-14   ,1 Season ,"Crime TV Shows, International TV Shows, Korean TV Shows                        ",born with supernatural strength bongsoon fights evil and procures justice while getting tangled in a love triangle with her ceo boss and cop crush                                              ,TV Show,2019-11-24
80198859,Gladiator                                                                               ,Julien Abraham                           ,France                                        ,2019,TV-MA   ,1h37     ,"Dramas, Independent Movies, International Movies                               ",thrust from a violent home into a brutal custody center a teenager learns to navigate a tough new reality and forge unlikely alliances to survive                                               ,Movie  ,2019-11-22
80212245,The Dragon Prince                                                                       ,Desconhecido                             ,"United States, Canada                         ",2019,TV-Y7-FV,3 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy                           ",an extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands                                                   ,TV Show,
80213643,Chip and Potato                                                                         ,Desconhecido                             ,"Canada, United Kingdom                        ",2019,TV-Y    ,2 Seasons,Kids' TV                                                                       ,lovable pug chip starts kindergarten makes new friends and tries new things  with a little help from potato her secret mouse pal                                                                ,TV Show,
80216180,Dino Girl Gauko                                                                         ,Desconhecido                             ,"United States, Japan                          ",2019,TV-Y7-FV,1 Season ,"Anime Series, Kids' TV                                                         ",when she gets angry middle schooler naoko turns into fierce dinosaur gauko thanks to friends aliens and more her life is full of wacky incidents                                                ,TV Show,2019-11-22
80221584,Bikram Yogi Guru Predator                                                               ,Eva Orner                                ,United States                                 ,2019,TV-MA   ,1h26     ,Documentaries                                                                  ,this documentary charts the rise and fall of hot yoga founder bikram choudhury as his global empire is born and disturbing revelations come to light                                            ,Movie  ,2019-11-20
80222157,Who Killed Little Gregory                                                               ,Desconhecido                             ,France                                        ,2019,TV-MA   ,1 Season ,"Crime TV Shows, Docuseries, International TV Shows                             ",when their 4yearold son is murdered a young couple fights a twisting and arduous battle trying to identify a frustratingly elusive killer                                                       ,TV Show,2019-11-20
80233258,High Seas                                                                               ,Desconhecido                             ,Spain                                         ,2019,TV-MA   ,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows              ",two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from spain to brazil in the 1940s                                           ,TV Show,
80235524,Super Monsters Save Christmas                                                           ,Steve Ball                               ,United States                                 ,2019,TV-Y    ,0h24     ,Children & Family Movies                                                       ,its christmas eve in pitchfork pines and the super monsters are joining forces to deck the halls find santas missing reindeer and save the holiday                                              ,Movie  ,2019-11-26
80241539,Chamber of Secrets                                                                      ,Desconhecido                             ,France                                        ,2019,TV-MA   ,1 Season ,"Crime TV Shows, International TV Shows, TV Dramas                              ",after making a deal with a supernatural figure two high schoolers emerge with extraordinary powers and join forces to solve a murder                                                            ,TV Show,2019-11-21
80241855,Dirty John                                                                              ,Desconhecido                             ,United States                                 ,2018,TV-14   ,1 Season ,"Crime TV Shows, TV Dramas, TV Mysteries                                        ",businesswoman debra newells life unravels when she falls for the lies and manipulation of con man john meehan based on the truecrime podcast                                                    ,TV Show,2019-11-25
80244683,Lorena LightFooted Woman                                                                ,Juan Carlos Rulfo                        ,Mexico                                        ,2019,TV-G    ,0h28     ,"Documentaries, International Movies, Sports Movies                             ",lorena ramrez of mexicos rarmuri community lives a pastoral life  except when she straps on her sandals to compete as an ultramarathon runner                                                   ,Movie  ,2019-11-20
80244700,Nobodys Looking                                                                         ,Desconhecido                             ,Brazil                                        ,2019,TV-MA   ,1 Season ,"International TV Shows, TV Comedies, TV Dramas                                 ",a new guardian angelus uncovers a secret behind the angelus systems bureaucracy that leads him to break its official rules about protecting humans                                              ,TV Show,2019-11-22
80244846,Dolly Partons Heartstrings                                                              ,Desconhecido                             ,United States                                 ,2019,TV-14   ,1 Season ,TV Dramas                                                                      ,eight stories celebrating family faith love and forgiveness come to life in this series inspired by dolly partons iconic country music catalog                                                  ,TV Show,2019-11-22
80245262,Singapore Social                                                                        ,Desconhecido                             ,"Singapore, United States                      ",2019,TV-MA   ,1 Season ,"International TV Shows, Reality TV                                             ",peer into the lives of young singaporeans as they defy expectations and traverse the tricky terrain of career romance and family                                                                ,TV Show,2019-11-22
80990849,The Movies That Made Us                                                                 ,Desconhecido                             ,United States                                 ,2019,TV-MA   ,1 Season ,Docuseries                                                                     ,these blockbusters brought us together and gave us the time of our lives meet the actors directors and industry insiders who made them happen                                                   ,TV Show,2019-11-29
80995081,Little Singham Mahabali                                                                 ,Prakash Satam                            ,Desconhecido                                  ,2019,TV-Y7   ,1h9      ,"Children & Family Movies, Comedies                                             ",in a journey back in time to the ancient city of mirchigadh little singham vies for the title of ultimate warrior and fights a zombie kings army                                                ,Movie  ,2019-11-27
80997965,Merry Happy Whatever                                                                    ,Desconhecido                             ,United States                                 ,2019,TV-PG   ,1 Season ,TV Comedies                                                                    ,a struggling la musician tries to win over his new girlfriends gruff dad and quirky tightknit siblings on a 10day christmas visit to philadelphia                                               ,TV Show,2019-11-28
81002391,Broken                                                                                  ,Desconhecido                             ,United States                                 ,2019,TV-14   ,1 Season ,Docuseries                                                                     ,this investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes                                             ,TV Show,2019-11-27
81005044,The Shawshank Redemption                                                                ,"Marta Jaenes, Rosa Márquez               ",Desconhecido                                  ,2019,TV-MA   ,1h27     ,"Documentaries, International Movies                                            ",featuring extensive interviews this documentary takes a critical look at the gender inequality in spain as the feminist movement aims to shift reality                                          ,Movie  ,2019-11-25
81011957,Holiday Secrets                                                                         ,Desconhecido                             ,Germany                                       ,2019,TV-MA   ,1 Season ,"International TV Shows, TV Dramas                                              ",a christmas reunion becomes a gateway to the past in this threepart series that explores the intimate complexities of one familys history                                                       ,TV Show,2019-11-20
81018979,Mythomaniac                                                                             ,Desconhecido                             ,France                                        ,2019,TV-MA   ,1 Season ,"International TV Shows, TV Comedies, TV Dramas                                 ",burned out and taken for granted a working mom suspects her partner is cheating so to win back his attentions she feigns a medical diagnosis                                                    ,TV Show,2019-11-28
81019894,Nailed It Holiday                                                                       ,Desconhecido                             ,United States                                 ,2019,TV-PG   ,2 Seasons,Reality TV                                                                     ,its the nailed it holiday special youve been waiting for with missing ingredients impossible asks and desserts that look delightfully sad                                                       ,TV Show,
81026188,The Knight Before Christmas                                                             ,Monika Mitchell                          ,United States                                 ,2019,TV-14   ,1h33     ,"Children & Family Movies, Comedies, Romantic Movies                            ",medieval magic sends a 14thcentury knight to modernday ohio where he falls for a high school science teacher whos disillusioned by love                                                         ,Movie  ,2019-11-21
81033086,Holiday Rush                                                                            ,Leslie Small                             ,United States                                 ,2019,TV-PG   ,1h34     ,"Children & Family Movies, Dramas                                               ",a widowed radio dj and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before christmas                                           ,Movie  ,2019-11-28
81035121,True Winter Wishes                                                                      ,Desconhecido                             ,Desconhecido                                  ,2019,TV-Y    ,0h46     ,Movies                                                                         ,an ice crystal from a frosty realm is freezing everything in the rainbow kingdom its citizens too can true save winter wishfest  and her friends                                                ,Movie  ,2019-11-26
81062293,Mike Birbiglia The New One                                                              ,Seth Barrish                             ,United States                                 ,2019,TV-MA   ,1h26     ,Stand-Up Comedy                                                                ,comedian mike birbiglia hits broadway with a hilarious yet profound oneman show that recounts his emotional and physical journey to parenthood                                                  ,Movie  ,2019-11-26
81073633,Iliza Shlesinger Unveiled                                                               ,Steve Paley                              ,United States                                 ,2019,TV-MA   ,1h18     ,Stand-Up Comedy                                                                ,here comes the bride and shes got plenty to say newlywed iliza shlesinger dissects wedding traditions as she mines her nuptials for laughs                                                      ,Movie  ,2019-11-19
81082007,Atlantics                                                                               ,Mati Diop                                ,"France, Senegal, Belgium                      ",2019,TV-14   ,1h46     ,"Dramas, Independent Movies, International Movies                               ",arranged to marry a rich man young ada is crushed when her true love goes missing at sea during a migration attempt  until a miracle reunites them                                              ,Movie  ,2019-11-29
81094391,Sugar Rush Christmas                                                                    ,Desconhecido                             ,United States                                 ,2019,TV-PG   ,1 Season ,Reality TV                                                                     ,its everything you love about sugar rush  with a holly jolly holiday twist  in this christmasthemed spin on competitive baking                                                                  ,TV Show,2019-11-29
81105522,No Time for Shame                                                                       ,Desconhecido                             ,Argentina                                     ,2019,TV-MA   ,1 Season ,"International TV Shows, Reality TV, Spanish-Language TV Shows                  ",follow santiago artemis a buenos aires fashion dynamo as he makes his dreams come true while grappling with his love life therapist and clients                                                 ,TV Show,2019-11-19
81120982,I Lost My Body                                                                          ,Jérémy Clapin                            ,France                                        ,2019,TV-MA   ,1h21     ,"Dramas, Independent Movies, International Movies                               ",romance mystery and adventure intertwine as a young man falls in love and a severed hand scours paris for its owner in this mesmerizing animated film                                           ,Movie  ,2019-11-29
81140259,Zona Rosa                                                                               ,Desconhecido                             ,Mexico                                        ,2019,TV-MA   ,1 Season ,"International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows",an assortment of talent takes the stage for a night of honest standup featuring four of mexicos funniest lgbtq comedians                                                                        ,TV Show,2019-11-26
81152641,The Charming Stepmom                                                                    ,Desconhecido                             ,Desconhecido                                  ,2019,TV-14   ,1 Season ,"International TV Shows, Romantic TV Shows, TV Comedies                         ",a quirky fashion student becomes the nanny of a handsome widowers three kids experiencing a series of silly antics and schemes                                                                  ,TV Show,2019-11-29
81152642,Miss Culinary                                                                           ,Desconhecido                             ,Desconhecido                                  ,2019,TV-14   ,1 Season ,"International TV Shows, Romantic TV Shows, TV Comedies                         ",after ditching her domestic life to become a chef a clueless maid crosses paths with two charming suitors who help her reach her dreams                                                         ,TV Show,2019-11-19
81152643,Bangkok Buddies                                                                         ,Desconhecido                             ,Desconhecido                                  ,2019,TV-14   ,1 Season ,"International TV Shows, TV Comedies, TV Dramas                                 ",living under the same roof a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires                                               ,TV Show,2019-11-20
81161538,Lugar de Mulher                                                                         ,Desconhecido                             ,Brazil                                        ,2019,TV-MA   ,1 Season ,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies              ",four comedians from brazil riff on sexuality politics religion and motherhood  and set out to prove a womans place is anywhere she wants it to be                                               ,TV Show,2019-11-28
81169145,Narcoworld Dope Stories                                                                 ,Desconhecido                             ,United States                                 ,2019,TV-MA   ,1 Season ,"Crime TV Shows, Docuseries                                                     ",ride along as police officers and drug smugglers go toetotoe trying to outwit each other in locales around the world                                                                            ,TV Show,2019-11-22
81172754,Crazy people                                                                            ,Moses Inwang                             ,Nigeria                                       ,2018,TV-14   ,1h47     ,"Comedies, International Movies, Thrillers                                      ",nollywood star ramsey nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter                                                              ,Movie  ,2019-11-29
81172841,Lagos Real Fake Life                                                                    ,Mike Ezuruonye                           ,Desconhecido                                  ,2018,TV-14   ,1h58     ,"Comedies, International Movies                                                 ",two mooching friends vie for the attention of wealthy beautiful women only to discover that their lavish lifestyles are bogus                                                                   ,Movie  ,2019-11-29
81172899,Grown Ups                                                                               ,Cheta Chukwu                             ,Nigeria                                       ,2019,TV-MA   ,1h50     ,"Comedies, Independent Movies, International Movies                             ",after an expensive night out two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlords daughter                                            ,Movie  ,2019-11-29
81172901,The Island                                                                              ,Toka McBaror                             ,Nigeria                                       ,2018,TV-14   ,1h33     ,"Dramas, International Movies, Thrillers                                        ",when a colonel uncovers controversial intel about the government he makes a shocking discovery and must decide whether to reveal it or risk his life                                            ,Movie  ,2019-11-29
81172908,The Accidental Spy                                                                      ,Roger Russell                            ,Nigeria                                       ,2017,TV-14   ,1h44     ,"Action & Adventure, Comedies, International Movies                             ",nursing a broken heart an it specialist moves to london to audition for a reality tv show that unexpectedly turns into a reallife cartel drama                                                  ,Movie  ,2019-11-29
81177504,The Body Remembers When the World Broke Open                                            ,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Canada, Norway                                ",2019,TV-MA   ,1h46     ,"Dramas, Independent Movies                                                     ",after a traumatic event two indigenous women in vancouver are brought together and form a deep bond despite leading different lives                                                             ,Movie  ,2019-11-27
81193313,Chocolate                                                                               ,Desconhecido                             ,South Korea                                   ,2019,TV-14   ,1 Season ,"International TV Shows, Korean TV Shows, Romantic TV Shows                     ",brought together by meaningful meals in the past and present a doctor and a chef are reacquainted when they begin working at a hospice ward                                                     ,TV Show,2019-11-30
81194544,Evvarikee Cheppoddu                                                                     ,Basava Shankar Eeday                     ,India                                         ,2019,TV-14   ,2h14     ,"Comedies, International Movies, Romantic Movies                                ",when caste differences throw a wrench into their otherwise blossoming relationship a couple must somehow convince the girls father to let them marry                                            ,Movie  ,2019-11-27
81197050,Guatemala Heart of the Mayan World                                                      ,"Luis Ara, Ignacio Jaunsolo               ",Desconhecido                                  ,2019,TV-G    ,1h7      ,"Documentaries, International Movies                                            ",from sierra de las minas to esquipulas explore guatemalas cultural and geological wealth including ancient mayan cities and other natural wonders                                               ,Movie  ,2019-11-30
81204911,The Crime                                                                               ,Desconhecido                             ,Poland                                        ,2015,TV-14   ,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas                              ",the peaceful lives of the residents inhabiting a breathtaking seaside town are shaken following a series of macabre crimes                                                                      ,TV Show,
81208888,Once Upon A Time In Lingjian Mountain                                                   ,Desconhecido                             ,China                                         ,2019,TV-PG   ,1 Season ,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy                       ",as the nine continents face a crisis a young disciple joins the spirit blade sect and comes under the tutelage of a temperamental sage                                                          ,TV Show,2019-11-23
81213894,The Zoya Factor                                                                         ,Abhishek Sharma                          ,India                                         ,2019,TV-14   ,2h15     ,"Comedies, Dramas, International Movies                                         ",a goofy copywriter unwittingly convinces the indian cricket team that shes their lucky mascot to the dismay of their superstitionshunning captain                                               ,Movie  ,2019-11-30
81215481,Pranaam                                                                                 ,Sanjiv Jaiswal                           ,India                                         ,2019,TV-MA   ,1h57     ,"Action & Adventure, Dramas, International Movies                               ",aspiring to fulfill his fathers dream and become a civil services officer a young man loses his way upon becoming entangled with a criminal lynchpin                                            ,Movie  ,2019-11-25
81217738,Dorasaani                                                                               ,KVR Mahendra                             ,India                                         ,2019,TV-14   ,2h14     ,"Dramas, International Movies, Romantic Movies                                  ",a village landlords daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy                                              ,Movie  ,2019-11-20
81217739,Scarface                                                                                ,Raj R                                    ,India                                         ,2019,TV-PG   ,2h11     ,"Dramas, Independent Movies, International Movies                               ",a selftrained engineer risks debt love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community                                              ,Movie  ,2019-11-20
81218074,Shelby American                                                                         ,"Nate Adams, Adam Carolla                 ",United States                                 ,2019,TV-14   ,1h59     ,"Documentaries, Sports Movies                                                   ",featuring interviews and vintage footage this documentary traces american icon carroll shelbys life of reinvention from farmer to racer to entrepreneur                                         ,Movie  ,2019-11-22
81218079,Awake                                                                                   ,"Aleksandr Chernyaev, Fedor Lyass         ",United States                                 ,2019,TV-MA   ,1h32     ,Thrillers                                                                      ,after an accident leaves him with no recollection of who he is a man becomes a prime suspect in the search for a serial killer targeting young women                                            ,Movie  ,2019-11-24
81227195,Kalushi The Story of Solomon Mahlangu                                                   ,Mandla Dube                              ,South Africa                                  ,2016,TV-MA   ,1h47     ,"Dramas, International Movies                                                   ",the life and times of iconic south african liberation fighter solomon mahlangu who battled the forces of apartheid come into focus                                                              ,Movie  ,2019-11-29
